months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,fraud_reported
328,48,1000,1406.91,0,MALE,sleeping,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,5,1,YES,1,2,YES,71610,Y
228,42,2000,1197.22,5000000,MALE,reading,0,0,Vehicle Theft,missing,Minor Damage,Police,8,1,missing,0,0,missing,5070,Y
134,29,2000,1413.14,5000000,FEMALE,board-games,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,NO,2,3,NO,34650,N
256,41,2000,1415.74,6000000,FEMALE,board-games,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,5,1,missing,1,2,NO,63400,Y
228,44,1000,1583.91,6000000,MALE,board-games,66000,-46000,Vehicle Theft,missing,Minor Damage,None,20,1,NO,0,1,NO,6500,N
256,39,1000,1351.1,0,FEMALE,bungie-jumping,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,NO,0,2,NO,64100,Y
137,34,1000,1333.35,0,MALE,board-games,0,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,missing,0,0,missing,78650,N
165,37,1000,1137.03,0,MALE,base-jumping,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,missing,2,2,YES,51590,N
27,33,500,1442.99,0,FEMALE,golf,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,NO,1,1,YES,27700,N
212,42,500,1315.68,0,MALE,camping,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,1,NO,2,1,missing,42300,N
235,42,500,1253.12,4000000,FEMALE,dancing,38400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,22,1,YES,2,2,missing,87010,N
447,61,2000,1137.16,0,FEMALE,skydiving,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,YES,1,2,YES,114920,N
60,23,500,1215.36,3000000,MALE,reading,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,YES,1,0,NO,56520,N
121,34,1000,936.61,0,FEMALE,bungie-jumping,52800,-32800,Parked Car,missing,Minor Damage,None,5,1,NO,1,1,NO,7280,N
180,38,2000,1301.13,0,FEMALE,board-games,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,NO,0,2,YES,46200,Y
473,58,2000,1131.4,0,FEMALE,movies,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,4,YES,0,0,NO,63120,Y
70,26,1000,1199.44,5000000,MALE,hiking,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,missing,1,2,YES,52110,N
140,31,500,708.64,6000000,MALE,reading,53500,0,Single Vehicle Collision,Side Collision,Total Loss,Police,9,1,NO,0,2,YES,77880,N
160,37,500,1374.22,0,FEMALE,yachting,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,19,1,YES,1,0,NO,72930,N
196,39,2000,1475.73,0,FEMALE,camping,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,missing,2,0,NO,60400,N
460,62,1000,1187.96,4000000,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,3,NO,1,0,missing,47160,N
217,41,2000,875.15,0,FEMALE,skydiving,46700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,missing,1,2,missing,37840,N
370,55,2000,972.18,0,MALE,paintball,72700,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,NO,0,0,YES,71520,Y
413,55,2000,1268.79,0,MALE,chess,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,missing,2,2,missing,98160,Y
237,40,1000,883.31,0,MALE,kayaking,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,NO,1,3,NO,77880,N
8,35,2000,1266.92,0,MALE,polo,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,3,NO,1,3,YES,71500,Y
257,43,2000,1322.1,0,MALE,golf,0,-29200,Parked Car,missing,Minor Damage,Police,4,1,YES,1,3,YES,9020,N
202,34,500,848.07,3000000,MALE,chess,31000,-30200,Vehicle Theft,missing,Minor Damage,None,5,1,YES,2,1,missing,5720,Y
224,40,2000,1291.7,0,FEMALE,kayaking,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,21,1,NO,1,0,YES,69840,N
241,45,2000,1104.5,0,FEMALE,basketball,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,NO,2,2,NO,91650,N
64,25,1000,954.16,0,MALE,video-games,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,NO,0,0,missing,75600,N
