months_as_customer,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,policy_deductable_groups,age_groups
176,1365.46,4000000,MALE,sleeping,0,-56600,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,14,3,NO,2,1,NO,44280,0-500,36-40
121,936.61,0,FEMALE,bungie-jumping,52800,-32800,Parked Car,missing,Minor Damage,None,5,1,NO,1,1,NO,7280,501-1000,31-35
290,1311.3,0,FEMALE,chess,38500,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,23,3,YES,0,0,YES,52650,501-1000,41-45
461,1402.75,0,MALE,exercise,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,missing,2,1,YES,72100,1501-2000,61-65
467,977.4,0,MALE,bungie-jumping,82200,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,2,1,YES,2,3,NO,55700,1501-2000,56-60
166,1518.54,0,FEMALE,kayaking,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,10,1,YES,1,1,NO,58300,0-500,36-40
35,653.66,0,FEMALE,video-games,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,3,NO,0,0,missing,78300,1501-2000,26-30
230,1009.37,0,FEMALE,hiking,45400,-39400,Single Vehicle Collision,Front Collision,Total Loss,Fire,19,1,NO,0,2,YES,74140,1501-2000,41-45
99,1058.21,3000000,MALE,golf,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,1,1,NO,41130,501-1000,31-35
266,763.67,0,MALE,movies,12800,-49700,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,YES,1,3,YES,70830,501-1000,41-45
264,1047.06,6000000,MALE,sleeping,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,20,3,NO,0,2,NO,69850,0-500,41-45
257,1306.0,0,MALE,cross-fit,46100,-46900,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,YES,2,1,missing,50050,1501-2000,36-40
101,982.7,6000000,FEMALE,video-games,30800,-43700,Parked Car,missing,Minor Damage,None,9,1,NO,1,0,NO,5170,0-500,26-30
151,870.63,0,FEMALE,kayaking,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,NO,1,1,NO,62920,1501-2000,36-40
242,1396.89,6000000,FEMALE,chess,0,-61600,Multi-vehicle Collision,Front Collision,Minor Damage,Other,15,3,NO,1,2,YES,66900,1501-2000,41-45
324,897.89,6000000,MALE,board-games,0,-41300,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,missing,1,0,YES,79600,1501-2000,46-50
64,1681.01,0,MALE,base-jumping,0,-51100,Parked Car,missing,Minor Damage,None,16,1,NO,2,1,NO,4900,1501-2000,26-30
33,1402.78,5000000,FEMALE,base-jumping,70300,-50300,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2,1,YES,0,1,missing,56070,0-500,31-35
255,1167.3,4000000,MALE,board-games,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,NO,2,0,missing,69300,1501-2000,41-45
45,1459.5,0,MALE,movies,0,0,Parked Car,missing,Minor Damage,None,6,1,missing,1,3,missing,6000,0-500,31-35
53,1712.68,0,MALE,basketball,72200,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,missing,2,0,YES,51100,1501-2000,36-40
158,1327.41,0,FEMALE,skydiving,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,0,1,missing,0,0,missing,35000,1501-2000,31-35
256,1415.74,6000000,FEMALE,board-games,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,5,1,missing,1,2,NO,63400,1501-2000,41-45
73,1191.19,4000000,MALE,basketball,29300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,3,missing,0,1,YES,40160,1501-2000,26-30
211,1575.86,0,FEMALE,sleeping,0,0,Vehicle Theft,missing,Trivial Damage,Police,3,1,NO,1,1,NO,3190,501-1000,36-40
238,1524.45,4000000,MALE,chess,0,-44800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,4,NO,0,0,NO,42700,501-1000,41-45
141,1851.78,0,FEMALE,exercise,78800,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,13,1,NO,1,0,YES,61740,501-1000,26-30
438,1119.29,0,FEMALE,chess,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,14,1,missing,0,0,NO,40700,0-500,56-60
356,912.3,0,MALE,yachting,58500,-44000,Multi-vehicle Collision,Front Collision,Major Damage,Other,23,3,NO,2,1,missing,68750,0-500,51-55
137,1667.83,0,MALE,paintball,48500,-67400,Parked Car,missing,Minor Damage,Police,4,1,YES,1,1,NO,6600,0-500,31-35
360,1526.61,0,MALE,chess,0,-32900,Vehicle Theft,missing,Minor Damage,Police,5,1,YES,2,2,missing,4620,501-1000,51-55
101,433.33,0,MALE,golf,25900,0,Parked Car,missing,Minor Damage,None,7,1,missing,0,3,NO,5900,501-1000,26-30
101,895.14,0,MALE,video-games,52600,-30400,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,4,1,missing,0,3,YES,43600,0-500,31-35
134,1413.14,5000000,FEMALE,board-games,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,NO,2,3,NO,34650,1501-2000,26-30
240,1533.71,9000000,FEMALE,polo,0,-70900,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,2,YES,0,2,missing,66550,0-500,36-40
404,1361.16,4000000,FEMALE,cross-fit,0,-63700,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,23,1,NO,2,0,YES,53100,501-1000,56-60
299,1653.32,0,FEMALE,bungie-jumping,0,-48800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,3,1,YES,2,0,missing,54240,501-1000,41-45
260,1482.57,0,MALE,reading,35000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,7,1,NO,0,1,NO,64080,1501-2000,46-50
