months_as_customer,age,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,policy_deductable_groups
176,39,1365.46,4000000,MALE,sleeping,0,-56600,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,14,3,NO,2,1,NO,44280,0-500
121,34,936.61,0,FEMALE,bungie-jumping,52800,-32800,Parked Car,missing,Minor Damage,None,5,1,NO,1,1,NO,7280,501-1000
290,45,1311.3,0,FEMALE,chess,38500,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,23,3,YES,0,0,YES,52650,501-1000
461,61,1402.75,0,MALE,exercise,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,missing,2,1,YES,72100,1501-2000
467,58,977.4,0,MALE,bungie-jumping,82200,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,2,1,YES,2,3,NO,55700,1501-2000
166,37,1518.54,0,FEMALE,kayaking,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,10,1,YES,1,1,NO,58300,0-500
35,29,653.66,0,FEMALE,video-games,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,3,NO,0,0,missing,78300,1501-2000
230,44,1009.37,0,FEMALE,hiking,45400,-39400,Single Vehicle Collision,Front Collision,Total Loss,Fire,19,1,NO,0,2,YES,74140,1501-2000
99,32,1058.21,3000000,MALE,golf,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,1,1,NO,41130,501-1000
266,42,763.67,0,MALE,movies,12800,-49700,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,YES,1,3,YES,70830,501-1000
264,44,1047.06,6000000,MALE,sleeping,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,20,3,NO,0,2,NO,69850,0-500
257,40,1306.0,0,MALE,cross-fit,46100,-46900,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,YES,2,1,missing,50050,1501-2000
101,27,982.7,6000000,FEMALE,video-games,30800,-43700,Parked Car,missing,Minor Damage,None,9,1,NO,1,0,NO,5170,0-500
151,36,870.63,0,FEMALE,kayaking,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,NO,1,1,NO,62920,1501-2000
242,44,1396.89,6000000,FEMALE,chess,0,-61600,Multi-vehicle Collision,Front Collision,Minor Damage,Other,15,3,NO,1,2,YES,66900,1501-2000
324,46,897.89,6000000,MALE,board-games,0,-41300,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,missing,1,0,YES,79600,1501-2000
64,30,1681.01,0,MALE,base-jumping,0,-51100,Parked Car,missing,Minor Damage,None,16,1,NO,2,1,NO,4900,1501-2000
33,32,1402.78,5000000,FEMALE,base-jumping,70300,-50300,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2,1,YES,0,1,missing,56070,0-500
